codigo,nombre,poblacion,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos,region de consumo,consumo promedio mensual en metros cubicos,consumo diario en litros
40102,Mercedes,25744,4,401,202.64,199.64,3,0,0,0,8,Región Central,5.45,181.666666667
40103,San Francisco,49209,4,401,145.49,115.49,10.00,20.00,0,0,27,Región Central,5.45,181.666666667
40104,Ulloa,29266,4,401,345.67,244.27,14.20,75.20,12.00,0.00,51,Región Central,5.45,181.666666667
40105,Varablanca,700,,,,,,,,,,Región Central,5.45,181.666666667
21013,Pocosol,15395,2,210,109.92,80.95,13.64,15.33,0,0,29,Región Huetar Norte,5.14,171.333333333
21012,Monterrey,3455,2,210,93.80,9.50,4.30,0,80.00,0,5,Región Huetar Norte,5.14,171.333333333
21011,Cutris,10334,2,210,163.52,104.87,9.00,39.05,0,7.60,42,Región Huetar Norte,5.14,171.333333333
21010,Venado,1754,2,210,3.00,1.00,2.00,0,0,0,2,Región Huetar Norte,5.14,171.333333333
20308,Bolívar,7265,2,203,9.81,3.31,6.50,0,0,0,9,Región Central,5.45,181.666666667
20304,San Roque,11132,2,203,38.78,30.78,7.00,1.00,0,0,15,Región Central,5.45,181.666666667
20305,Tacares,7963,2,203,14.58,1.50,7.23,5.85,0,0,10,Región Central,5.45,181.666666667
20306,Río Cuarto,11074,2,203,79.78,1.30,14.08,64.40,0,0,28,Región Huetar Norte,5.14,171.333333333
20307,Puente de Piedra,10556,2,203,273.94,72.23,76.65,116.06,2.00,7.00,60,Región Central,5.45,181.666666667
20301,Grecia,14859,2,203,30.67,15.59,0,11.08,0,4.00,20,Región Central,5.45,181.666666667
20302,San Isidro,5949,2,203,94.55,8.31,5.00,78.84,0,2.40,24,Región Central,5.45,181.666666667
20303,San José,8100,2,203,53.45,20.70,18.50,14.00,0,0.25,23,Región Central,5.45,181.666666667
60201,Espíritu Santo,15686,6,602,219.57,192.44,14.16,4.17,8.80,0,75,Región Pacífico Central,5.56,185.333333333
60203,Macacona,4742,6,602,167.73,134.69,23.52,7.52,0,2,46,Región Pacífico Central,5.56,185.333333333
60111,Cóbano,7494,6,601,440.62,204.57,187.34,1.00,32.21,13.00,323,Región Pacífico Central,5.56,185.333333333
60110,Isla del Coco,0,6,601,13.00,6.00,7.00,0,0,0,14,Región Pacífico Central,5.56,185.333333333
60113,Chira,1576,6,601,3.70,3.70,0,0,0,0,6,Región Pacífico Central,5.56,185.333333333
60112,Chacarita,17434,6,601,77.76,55.70,10.36,9.40,2.30,0,34,Región Pacífico Central,5.56,185.333333333
60115,El Roble,15759,6,601,102.00,58.13,1,42.87,0,0,38,Región Pacífico Central,5.56,185.333333333
60114,Acapulco,1296,6,601,35.73,6.00,0,22.73,0,7.00,18,Región Pacífico Central,5.56,185.333333333
